3Q2023-EXCEL,,,,,
DMF#,STATUS,TYPE,SUBMIT DATE,HOLDER,SUBJECT
176,I,II,1/1/1940,NEW DRUG INSTITUTE,RESERPINE;PROTOVERATRINES A&B;SUCROSE;STARCH;LACTOSE;ACACIA;MAGNESIUM 
179,I,II,10/28/1955,CITRUS AND CANNED PRODUCTS ASSN,HESPERDIN
180,I,II,10/13/1955,NATIONAL RESEARCH COUNCIL,PLASTIC BAG CONTAINERS                                                
181,I,II,1/1/1940,NEW DRUG INSTITUTE,NDI FORMULA 200                                                       
183,A,II,2/29/1952,ASHLAND INC,POLYVINYL PYRROLIDONE-IODINE 10
185,I,II,12/22/1955,ELI LILLY AND CO,TOPICAL ANESTHETIC COMPOUND C-10
187,I,II,1/11/1956,NEW DRUG INSTITUTE,NDI. FORMULA 156
188,I,I,1/20/1956,WYETH INC,MANUFACTURING: METHODS AND CONTROLS                                   
189,I,II,1/1/1940,COLORADO AGRICULTURAL & MECHANICAL COLLEGE,DIETHYLSTILBESTROL IN CATTLE FEEDS --SAFETY OF USE OF
190,I,I,1/24/1956,ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,SYSTEMS FOR THE CONTROL OF MANUFACTURE PROCESSING $ PACKING OF DRUGS
191,A,II,1/24/1956,SPECGX LLC,PARZONE BITARTRATE (DIHYDROCODEINE BITARTRATE)
192,I,II,2/2/1956,MALLINCKRODT INC,RESERPINE
193,I,II,2/17/1956,FINE CHEMICALS CANADA LTD,RESERPINE
194,I,I,2/16/1956,PENNWALT CORP,CONTROL PROCEDURES MANUFACTURING                                      
196,I,II,5/1/1956,INSTITUTE STUDY ANALGESIC SEDATIVE DRUGS,REPORT OF MEETING                                                     
197,I,II,5/2/1956,UPJOHN CO,ORINASE
199,I,II,1/1/1940,NEW DRUG INSTITUTE,HYDROCORTISONE                                                        
200,I,II,3/29/1956,LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,ESKASUL MANUFACTURING DETAILS                                         
201,I,II,1/1/1940,PENICK CORP,GRAMICIDIN
202,A,IV,3/4/1964,INTERNATIONAL FLAVORS AND FRAGRANCES INC,"ALVA FLAVORS, SEALVA FLAVORS"
203,I,II,1/1/1940,ER SQUIBB AND SONS INC,STILBETIN SUPPLEMENT 50 (DIETHYLSTILBESTROL IN POLYETHYLENE GLYCOL)
207,I,II,5/9/1956,NEW YORK QUININE AND CHEMICAL WORKS INC,DIHYDROCODEINE BITARTRATE ANHYDROUS
208,I,II,5/24/1956,BRISTOL LABORATORIES INC DIV BRISTOL MYERS CO,TESTING FACILITIES FOR RAW MATERIALS & FINISHED GOODS
209,I,II,5/23/1956,UPJOHN CO,COMBINED ADRENAL HORMONE ANTIBIOTIC THERAPY
210,I,II,5/26/1959,SB PENICK AND CO,RAUNORMINE
211,I,II,1/1/1940,MALLINCKRODT INC,"FERROUS FUMARATE  ""TOLERON"""
212,I,II,1/1/1940,PHARMACRAFT INC,ZIRCONIUM                                                             
213,I,II,7/13/1956,SOCIETE DES LABORATOIRES LABAZ,"SULFANILAMIDE -2,4-DIMETHOXY-5-TRIAZINE (HB-182)"
214,I,II,1/1/1940,SOCIETE DES LABORATOIRES LABAZ,CARNITINE CARNITINATE DICHLORIDE
215,I,II,5/21/1965,ARCHIMICA LTD,"TCC  TRICLOCARBAN (3,4,4'-TRICHLORO CARBANILIDE)"
216,I,II,7/16/1956,PHARMACEUTICAL PRODUCTS CO INC,A DESCRIPTION OF THE FACILITIES & OPERATING PROCEDURES
217,I,II,7/9/1956,SUMNER CHEMICAL CO INC,POTASSIUM PARA AMINOSALICYLATE
218,I,II,1/1/1940,LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,STYLOMYCIN (PUROMYCIN)
219,I,II,12/8/1958,ANHEUSER BUSCH INC,VITA-BUSCH-12 CONCENTRATE
220,I,II,7/23/1956,FRANK SAMUEL AND CO INC,POWDERED WHOLE RAUWOLFIA SERPENTINA ROOT
221,I,II,7/18/1956,GALAT ALEXANDER,N-(3'DIMETHYLAMINO)PROPYL PHENOTHIAZING HCL (PROMAZINE HCL)
222,I,II,8/7/1956,SB PENICK AND CO,"AMMOIDIN (8-METHOXYPSORALEN, XANTHATOXIN)"
223,I,II,8/6/1956,SOCIETE DES LABORATOIRES LABAZ,SODIUM DI-TERTIARY BUTYL-NAPHTHALENE SULFONATE                        
225,I,II,1/1/1940,ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,DIETHYLSTILBESTROL PWD & DIETHYLSTILBESTROL 50% SUSPEN. IN SOYBEAN OIL
226,I,II,5/24/1956,BRISTOL LABORATORIES INC DIV BRISTOL MYERS CO,CALCIUM AMPHOMYCIN OINTMENT
227,I,II,4/8/1957,ELI LILLY AND CO,CHLORDIETHYLNOL (DIETHYL CHLORO ETHYNYL CARBINOL)
229,I,II,1/1/1940,NEW YORK ACADEMY SCIENCES,MEETINGS AND MISCELLANEOUS                                               
230,I,II,1/1/1940,CHEMO PURO MFG CO,PIPERAZINE PREPARATIONS
232,I,II,11/1/1956,PENCO OF LYNDHURST INC,METHOCARBAMOL
233,I,II,1/1/1940,WALLERSTEIN,TYROTHRICIN & GRAMICIDIN
234,I,II,12/11/1956,SYNTHETIC FERTILIZERS AND CHEMICALS INC,p HYDROXYPHENYLSALICYLAMIDE                                           
235,I,II,1/1/1940,CARBIDE AND CARBON CHEMS CO DIV UNION CARBIDE AND CARBON COR,PIPERAZINE
238,I,II,11/2/1956,ELLAY RUBBER CO DIV WR GRACE AND CO,VINYL SHEETING & GRANULES - 0445X3                                    
239,I,II,2/8/1957,GANE AND INGRAM INC,BENACTYZINE HCL                                                       
240,A,II,1/11/1957,DR REDDYS LABORATORIES LTD,NORETHINDRONE 
241,I,II,1/29/1957,SYNTEX LABORATORIES INC SUB SYNTEX CORP,PREDNISONE(CRUDE AND CRYSTALLINE)                                     
242,I,II,1/1/1940,APOTHEKERNES LABORATORIUM AS,NEOMYCIN SULFATE
243,I,II,2/7/1957,ARMOUR LABORATORIES DIV ARMOUR PHARMACEUTICAL CO,"3,3' - ALLYLDIETHYLSTILBESTROL & 3,3' - ALLYL HEXESTROL"
244,I,II,1/1/1940,ARMOUR LABORATORIES DIV ARMOUR PHARMACEUTICAL CO,VITAMIN B12 CONC. (FEED GRADE MILORGANITE)  (VET MED)
249,I,II,3/14/1957,ER SQUIBB AND SONS INC,PACKAGING OF SQUIBB RADIOPHARMACEUTICALS
250,I,II,1/1/1940,JENSEN-SALSBERY LABS DIV RICHARDSON-MERRILL INC,XYLOCAINE
252,I,II,1/1/1940,JENSEN-SALSBERY LABS DIV RICHARDSON-MERRILL INC,SODIUM POLYTHIONATE SOLUTION  (VET MED)
253,I,II,4/27/1957,MERCK AND CO INC,AQUEOUS SOLN RADIO-ACTIVE VITAMIN B12                                 
254,I,IV,4/4/1957,CLINCAL TECHNOLOGY DIVISION OF SYBRON CORP,IONAC C-269
255,I,II,5/1/1957,SOCIETE DES LABORATOIRES LABAZ,ADRENOCHROME MONO SEMI CARBAZONE
256,I,II,1/1/1940,FERRING AB,TRICORTAN  (VET MED)
258,I,I,5/23/1967,GENERAL PACKAGING SERVICE,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES."
259,I,II,6/13/1957,SYNTEX LABORATORIES INC SUB SYNTEX CORP,HORMONE COCKTAIL                                            
260,I,II,7/9/1957,ROUSSEL CORP,PREDNISONE
261,I,II,5/15/1957,ROBECO CHEMICALS INC,ROBANE                                                                
262,I,II,1/1/1940,UPJOHN CO,"NEOMYCIN SULFATE 0.5GM, COMMERICIAL GRADE, NOT USP"
263,I,III,6/18/1957,ROHM AND HAAS CO,POLYMER MC 2242
264,I,II,7/26/1957,SB PENICK AND CO,NEOMYCIN PALMITATE                                                    
265,I,II,1/1/1940,RHODIA INC,HYDROCHLORIDE  6484 R.P.   (VET MED)
266,I,II,1/1/1940,JENSEN-SALSBERY LABS DIV RICHARDSON-MERRILL INC,STEROSAN (VET MED)
267,I,II,8/21/1951,IVERS LEE DIV BECTON DICKINSON AND CO,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES."
268,I,II,1/1/1940,RHODIA INC,PIPERAZINE DIHYDROCHLORIDE AMMONIUM)  RHODEX  (VET MED)
269,I,II,9/25/1957,NORDA ESSENTIAL OIL AND CHEMICAL CO INC,BIS (2-HYDROXY-5-CHLORO PHENYL) SULFIDE
270,I,II,1/1/1940,CHAS PFIZER AND CO INC,NEOMYCIN SULFATE  (VET MED)
271,I,II,1/1/1940,MERCK AND CO INC,NEOMYCIN SULFATE
272,I,II,1/1/1940,NEW YORK QUININE AND CHEMICAL WORKS INC,"HYDROCORTISONE, HYDROCORTISONE ACETATE & CORTISONE ACETATE"
273,I,II,9/3/1957,DOW CHEMICAL CO,"DISIDIUM DIHYDROGEN VERSENATE, A.R."
274,I,II,1/1/1940,"F.X. GASSNER, COLORADO STATE UNIVERSITY",TESTOSTERONE & DIETHYLSTILBESTROL-CATTLE FEED MIXED W/INGREDS--SAFETY?
275,I,II,1/1/1940,ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,DEXOXYEPHEDRINE HCL                                                   
276,I,II,11/1/1957,SYNTEX SA,PREDNISOLONE                                                          
278,I,II,10/28/1957,ORTHANA KEMISK FABRIK A S,CORTICOTROPIN - GEL
279,I,II,8/8/1960,GENERAL MILLS INC,L-ARGININE MONHYDROCHLORIDE AND L-ARGININE AND L-GLUTAMATE
280,I,II,11/19/1957,SYNTEX SA,17a - ACETOXY PROGESTERONE                                            
281,I,II,11/21/1957,MEDA PHARMACEUTICALS INC,2 HYDROXY-METHYLENE-17 ALPHA METHYL-DIHYDRO-TESTOTERONE
282,I,II,11/14/1957,PETER HAND FDN,VITAMIN A-DESOXYCHOLIC ACID COMPLEX
283,I,II,12/5/1957,NEW DRUG INSTITUTE,SYNTHESIS OF RESPERINE
284,I,II,12/18/1957,SB PENICK AND CO,RESCINNAMINE
285,I,I,1/16/1965,SPARKS CORP,PROCEDURE FOR HANDLING MEDICAL TABLETS
286,I,II,2/5/1958,EMERY PERSONAL CARE PRODUCTS GROUP,ETHOXYLAN                                                             
289,I,II,3/10/1958,LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,AEROSOL OT-N
290,I,II,3/19/1958,UPJOHN CO,"COMPRESSED TABLETS UPRIN, 5GR(ASPIRIN ANHYDRIDE)"
291,I,I,3/19/1958,SMITH KLINE & FRENCH LABS DIV SMITHKLINE BECKMAN CORP,GENERAL CONTROL PROCEDURES
292,I,II,1/1/1940,JENSEN-SALSBERY LABS DIV RICHARDSON-MERRILL INC,FRAMYCETIN (SOFROMYCIN ROUSSEL)
293,I,II,4/14/1958,MERCK AND CO INC,HYDROCORT. 21-PHOSPHATE & NEOMYCIN SO4--OPTHAL. SOL. 0.5% & INJECT    
294,I,II,4/9/1958,DISTILLATION PROD INDS DIV EASTMAN KODAK CO,INDOCYANINE GREEN
296,I,II,1/16/1958,SYNTEX LABORATORIES INC SUB SYNTEX CORP,19 NOR - 17 ALPHA - METHYL - TESTOSTERONE                             
297,I,II,5/19/1958,LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,SULFACHLOROPYRAZINEM - MFR & SPECS
298,I,II,5/22/1958,SOCIETE DES LABORATOIRES LABAZ,PROPYNYL CYCLOHEXANOL CARBAMATE
299,I,II,1/1/1940,JENSEN-SALSBERY LABS DIV RICHARDSON-MERRILL INC,DEQUADIN  (COMMON NAME DEQUALINIUM CHL)
300,I,II,1/1/1940,JENSEN-SALSBERY LABS DIV RICHARDSON-MERRILL INC,TEOQUIL
301,I,I,6/23/1958,HOFFMANN LA ROCHE INC,FACILITIES AND CONTROLS --TRETINOIN
302,I,V,7/16/1958,JENSEN-SALSBERY LABS DIV RICHARDSON-MERRILL INC,SOMATOTROPIC HORMONE - JOURNAL REFERENCES
303,I,II,8/29/1958,ELI LILLY AND CO,1 - CYCLOPPENTYL - 2 - AMINO PROPANE                                  
304,I,II,9/18/1958,UPJOHN CO,"CHLORPROPAMIDE TABLETS-PHARMACOLOGY, CLIN RPTS,MFG'S PROCEEDS. & CNTRL"
305,I,II,8/5/1958,RALSTON PURINA CO,MF'G PROCEDURES FOR PURINA CHOWS
306,I,II,9/29/1958,GIVAUDAN CORP ,"GIV - TAN F OIL & LOTION - PHARMACOLOGY, SPECS.                       "
307,I,IV,9/29/1958,AMERCHOL CORP,CHOLESTEROL & LANOLIN PRODUCTS
310,I,II,1/1/1940,CHEMICALS INC,DRXTRAN POWDER-SPEC & MFG PROCESSES
311,I,II,10/27/1958,SE MASSENGILL CO,CONTROL PROCEDURES STANDARD OPERATION PROCEDURES
313,I,II,11/6/1958,RHODIA INC,4632 R.P. MALEATE                                                     
314,I,II,10/24/1958,PFIZER INC,TERRAMYCIN-HYGROMYCIN PREMIX
315,I,II,11/21/1958,SYNTEX LABORATORIES INC SUB SYNTEX CORP,19-NOR-17a-ETHINYL-TESTOSTERONE-17 B ACETATE                          
316,I,II,12/19/1958,RHODIA INC,3828 R.P. FUMARATE - MF'G PROCEDURE                                   
317,I,II,12/22/1958,SYNTHETIC FERTILIZERS AND CHEMICALS INC,N-DIETHYLVANILLAMIDE (MFR. & SPECS)                                   
318,I,III,12/31/1958,ICI AMERICAS INC,ARLACEL; 165 ARLACEL; 161 MYRJ 59 - SPECIFICATION
319,I,II,12/22/1958,JORDAN KENNETH L MD,MEPHENESIN & PROCAINE HCL                                             
320,I,II,1/6/1959,WALLERSTEIN CO DIV TRAVENOL LABORATORIES INC,MYLASE                                                 
321,I,IV,1/7/1959,ICI AMERICAS INC,SPAN 85 - SPECS & ASSAY METHODS
322,I,II,1/15/1959,AYERST LABORATORIES INC DIV AMERICAN HOME PRODUCTS CORP,MF'G CONTROL PROCEDURES - SPECS FOR COMMONLY USED IN RAW MATERIALS    
324,I,II,1/21/1959,SB PENICK AND CO,CANDICIDIN                                                            
326,I,II,2/9/1959,PARKE DAVIS DIV WARNER LAMBERT CO,1-DESOXYEPHEDRINE
328,I,I,3/2/1959,RUSPACK CORP,PROCEDURES FOR PRODUCING PHYSICIANS SAMPLES
329,I,II,3/19/1959,DOW CHEMICAL CO,DOW 132 (4-TERT-BUTYL-2-CHLOROPHENYLMETHYL METHY PHOSPHORAMIDATE)     
330,I,II,3/4/1959,MONSANTO CO,HEMA (HYDROLYZED ETHYLENE MALEIC ANHYDRIDE) RESIN
331,I,II,3/31/1959,PABST LABORATORIES DIV PABST BREWING CO,ZYMO-PABST                                                            
332,I,II,4/14/1959,UPJOHN CO,"SOLKETAL(GLYCEROL 1,2 - ISOPROPYLIDENE ETHER)                        "
333,I,II,4/13/1959,SOLVAY PHARMACEUTICALS,DUVADILAN (ISOXSUPRINE HCL)
334,I,II,4/20/1959,ELI LILLY AND CO,MYRISTYL - 3 - HYDROXYBUTYLAMINE HCL - COMPOUND 06537                 
335,I,II,1/1/1940,NOVO NORDISK AS,"AMYLASE CONCENTRATE, CRUDE BACTERIAL"
336,I,II,5/18/1959,CHEMICALS INC,IRON - HYDRODEXTRAN
337,I,II,1/1/1940,RHODIA INC,SPIRAMYCIN--MFG PROCEDURES
338,I,IV,6/23/1959,KNOLL PHARMACEUTICAL CO UNIT BASF K&F CORP,DONDREN (MINERAL OIL)
339,A,II,7/8/1959,SOLVAY USA INC,IGEPAL® CO-630 SPECIAL USP
340,I,II,7/13/1959,UPJOHN CO,"STYRENE - MALEIC ACID COPOLYMER-TOXIC. DATA, CLIN REPTS & PHYSI CHARAC"
341,I,II,8/6/1959,STECKER CHEMICALS INC,ASC-4  BRAND OF DIAPHENE                                              
342,I,II,8/16/1959,KV PHARMACEUTICAL CO,NOLAMINE REPEAT ACTION TABLETS                                        
343,I,II,8/18/1959,SB PENICK AND CO,PHOLCODINE - MFR' & SPECS                                             
345,I,II,9/10/1959,AVECIA INC,SDM-40 (25% ISOSORBIDE DINITRATE IN LACTOSE)
